,Unnamed: 0,DebugRVA,DebugSize,Dll,ExportRVA,ExportSize,IATRVA,ImageVersion,LinkerVersion,NumberOfSections,OSVersion,ResSize,StackReserveSize,filename,clean
31,sample126,0,0,0,0,0,20480,0,7,4,4,0,1048576,samples/zippedMalware/89124fbcf14e9d50ad879b274e8af273,0
32,sample127,0,0,0,0,0,0,5,5,3,4,0,1048576,samples/zippedMalware/e1e2ccf2c05e3451a76555e56c40f6ef,0
33,sample128,0,0,33024,0,0,12288,0,10,4,5,195128,1048576,samples/zippedMalware/dabe75ee-d84b-11e6-9900-80e65024849a.file,0
34,sample129,53248,28,320,0,0,49820,0,14,8,6,180948,1048576,samples/zippedMalware/f56c1cf3-e60e-11e6-b1ca-80e65024849a.file,0
35,sample13,0,0,0,0,0,20480,5,7,4,4,0,1048576,samples/zippedMalware/22b3050657b77fe7e121ffc24fe989aa,0
36,sample130,0,0,0,0,0,0,4,7,3,4,0,1048576,samples/zippedMalware/67a73ae1a530ec9299c50eda02331e0c,0
37,sample131,333552,28,0,0,0,331776,0,7,4,4,627336,1048576,samples/zippedMalware/ec7f622b-e60e-11e6-bb40-80e65024849a.file,0
38,sample132,0,0,0,0,0,0,5,7,3,4,0,1048576,samples/zippedMalware/a6444b424123a3e11deb488696a4111a,0
39,sample133,0,0,0,0,0,0,0,7,3,4,0,1048576,samples/zippedMalware/0a2ce0517f8cb1048f56941e39890f4f,0
40,sample134,0,0,0,0,0,88872,0,2,4,4,0,1048576,samples/zippedMalware/eccfd1e8-dcda-11e6-8773-80e65024849a.file,0
41,sample135,0,0,0,0,0,0,4,7,3,4,0,1048576,samples/zippedMalware/60c96ac19256c49a9071345b3f9a0e0d,0
42,sample136,0,0,0,0,0,0,5,2,3,4,0,1048576,samples/zippedMalware/75462fc5e6b70b48ba8153e62cfe7f7d,0
43,sample137,0,0,0,0,0,0,4,7,3,4,0,1048576,samples/zippedMalware/0345a33762422a38a1c849bc43b6efd4,0
44,sample138,0,0,0,0,0,0,5,7,3,4,0,1048576,samples/zippedMalware/91825a730b6f7d51708efde2b46d58fa,0
45,sample139,0,0,0,0,0,20480,5,5,4,4,0,1048576,samples/zippedMalware/22a13f4995f196e83a32e0b67f41fb7b,0
46,sample14,0,0,0,0,0,0,0,5,3,4,0,1048576,samples/zippedMalware/1cacc41bd5336b11330df2c435c8053a,0
47,sample140,53248,28,320,0,0,49820,0,14,8,6,180948,1048576,samples/zippedMalware/fc8654ae-dd4f-11e6-a2bc-80e65024849a.file,0
48,sample141,0,0,0,0,0,20480,5,7,4,4,0,1048576,samples/zippedMalware/06bd93c3560ef9849fb5566e719417bf,0
49,sample142,0,0,0,0,0,88872,0,2,4,4,0,1048576,samples/zippedMalware/fbddb985-d262-11e6-82aa-80e65024849a.file,0
50,sample143,0,0,0,0,0,0,5,2,3,4,0,1048576,samples/zippedMalware/45ed9ed5ba00a1a9ff8dd83b2e4edcc0,0
51,sample144,0,0,0,0,0,20480,4,5,4,4,0,1048576,samples/zippedMalware/422f88f237bbf526c03ea497778ecb56,0
52,sample145,0,0,0,0,0,20480,5,7,4,4,0,1048576,samples/zippedMalware/143614f0b7cfb8f251bd406e58a1f7f4,0
53,sample147,53248,28,320,0,0,49820,0,14,8,6,180948,1048576,samples/zippedMalware/eb2cb959-cf3a-11e6-88b5-80e65024849a.file,0
54,sample148,0,0,0,0,0,20480,4,7,4,4,0,1048576,samples/zippedMalware/26937ae295b7ee20cde618c2cf2eaeca,0
55,sample149,0,0,0,0,0,20480,5,0,4,4,0,1048576,samples/zippedMalware/5ed0e83e83620a302939bb81ed3d540a,0
56,sample15,0,0,33024,0,0,12288,0,10,4,5,195128,1048576,samples/zippedMalware/9d691594-d521-11e6-9266-80e65024849a.file,0
57,sample151,0,0,0,0,0,0,4,0,3,4,0,1048576,samples/zippedMalware/7fca52c22d185edbb9e5c784c614a9a5,0
58,sample153,0,0,0,0,0,0,4,4,3,4,0,1048576,samples/zippedMalware/89c3e35dce2a7b8b78d0fb03c7e523de,0
59,sample154,0,0,0,0,0,0,5,4,3,4,0,1048576,samples/zippedMalware/16fab065726805d3f226ad8c3d9dea94,0
60,sample155,0,0,0,0,0,0,4,0,3,4,0,1048576,samples/zippedMalware/abad47f2044f38a6a9979d9da919a5c9,0
61,sample156,0,0,0,0,0,20480,5,5,4,4,0,1048576,samples/zippedMalware/b5b0a28089870c87abffb625e1ad2f83,0
62,sample157,0,0,0,0,0,20480,5,5,4,4,0,1048576,samples/zippedMalware/4011b89a9f2e1b89a34f61b38052eef3,0
63,sample158,0,0,0,0,0,0,5,7,3,4,0,1048576,samples/zippedMalware/a85565bc81f3338d735cc73ef3de7a9b,0
64,sample159,0,0,0,0,0,0,0,2,8,4,324372,1048576,samples/zippedMalware/794d00f3d6201421cd82d4a59a6779d2,0
65,sample160,0,0,33024,0,0,12288,0,10,4,5,195128,1048576,samples/zippedMalware/f7fc8085-d262-11e6-9c0c-80e65024849a.file,0
66,sample161,0,0,0,0,0,88872,0,2,4,4,0,1048576,samples/zippedMalware/eabfaee6-cf3a-11e6-94ad-80e65024849a.file,0
67,sample162,345888,28,0,0,0,344064,0,7,4,4,877720,1048576,samples/zippedMalware/f3bb6345-dd4f-11e6-9d17-80e65024849a.file,0
68,sample163,0,0,0,0,0,0,0,6,5,4,12640,1048576,samples/zippedMalware/254fda90d31172cb7b66775dee7e7974,0
